,condition,iron,b12
30_00_A,hi_0,hi,0
30_00_B,hi_0,hi,0
30_00_C,hi_0,hi,0
30_10_A,hi_10,hi,10
30_10_B,hi_10,hi,10
30_10_C,hi_10,hi,10
30_11_A,hi_11,hi,11
30_11_B,hi_11,hi,11
30_11_C,hi_11,hi,11
30_12_A,hi_12,hi,12
30_12_B,hi_12,hi,12
30_12_C,hi_12,hi,12
30_13_A,hi_13,hi,13
30_13_B,hi_13,hi,13
30_13_C,hi_13,hi,13
30_14_A,hi_14,hi,14
30_14_B,hi_14,hi,14
30_14_C,hi_14,hi,14
03_00_A,lo_0,lo,0
03_00_B,lo_0,lo,0
03_00_C,lo_0,lo,0
03_10_A,lo_10,lo,10
03_10_B,lo_10,lo,10
03_10_C,lo_10,lo,10
03_11_A,lo_11,lo,11
03_11_B,lo_11,lo,11
03_11_C,lo_11,lo,11
03_12_A,lo_12,lo,12
03_12_B,lo_12,lo,12
03_12_C,lo_12,lo,12
03_13_A,lo_13,lo,13
03_13_B,lo_13,lo,13
03_13_C,lo_13,lo,13
03_14_A,lo_14,lo,14
03_14_B,lo_14,lo,14
03_14_C,lo_14,lo,14
